t,est_vx_w,est_vy_w,est_vz_w,gt_vx_w,gt_vy_w,gt_vz_w,est_vx_b,est_vy_b,est_vz_b,gt_vx_b,gt_vy_b,gt_vz_b
9.79,0.07605535537004471,-0.007021391298621893,-0.058927763253450394,0.16299313306808472,0.09992010146379471,-0.05545695498585701,0.07770900428295135,-0.0027678124606609344,-0.057095080614089966,0.16178521316374903,0.10602664999228323,-0.04701229893611389
9.795,0.08704880625009537,0.019442401826381683,-0.04992539435625076,0.16299313306808472,0.09992010146379471,-0.05545695498585701,0.08781418949365616,0.02362055517733097,-0.04667744040489197,0.16179416213359066,0.10609321676914886,-0.04683097705453199
9.799999999999999,0.10381123423576355,0.044895391911268234,-0.05257827788591385,0.15755470097064972,0.0952395498752594,-0.06581273674964905,0.1039896309375763,0.04960241541266441,-0.047776564955711365,0.15675113577404423,0.10176675389469467,-0.057428052460110596
9.805,0.12319882214069366,0.07476150989532471,-0.06012909486889839,0.1523289829492569,0.08832354843616486,-0.07148271054029465,0.12278284132480621,0.0802452340722084,-0.05355199798941612,0.15184478390143175,0.0949894030818994,-0.0635226027849873
9.809999999999999,0.137662872672081,0.10337994247674942,-0.062476273626089096,0.1460551917552948,0.08142179995775223,-0.07442359626293182,0.13652485609054565,0.10928016155958176,-0.05441117659211159,0.14580573910671868,0.08804851251595674,-0.06699735899141925
9.815,0.14998522400856018,0.1329803317785263,-0.0505104623734951,0.13897722959518433,0.07458563894033432,-0.07577397674322128,0.14770226180553436,0.13864615559577942,-0.041133079677820206,0.13890598645523966,0.08104799035253388,-0.06896182725018547
9.819999999999999,0.15999490022659302,0.157587468624115,-0.03520788997411728,0.13148953020572662,0.06776271760463715,-0.07597140222787857,0.15662482380867004,0.1628420501947403,-0.024957969784736633,0.13155846502216725,0.07395446854189122,-0.06982867085989027
9.825,0.16793158650398254,0.17831973731517792,-0.019862275570631027,0.12488574534654617,0.057151295244693756,-0.07110647857189178,0.16360817849636078,0.18314625322818756,-0.009125130251049995,0.12506026467355472,0.0628718531165845,-0.06577166195125292
9.83,0.17790007591247559,0.1949489563703537,-0.02595520205795765,0.11850007623434067,0.046418558806180954,-0.06535179167985916,0.17328445613384247,0.2001878023147583,-0.014984607696533203,0.11876164740009924,0.051630991220993176,-0.06080887431750694
9.834999999999999,0.17965826392173767,0.20419231057167053,-0.001582633936777711,0.11166181415319443,0.03592419996857643,-0.06031640246510506,0.17426174879074097,0.208628848195076,0.008996665477752686,0.11202331410627656,0.0406420365021372,-0.05653299261628163
9.84,0.18876983225345612,0.21462595462799072,0.011451399885118008,0.10485123097896576,0.025525566190481186,-0.0556885190308094,0.18290846049785614,0.21887028217315674,0.021674461662769318,0.105316085684157,0.029748436141453206,-0.05263172962128732
9.844999999999999,0.19801446795463562,0.22486980259418488,0.020313255488872528,0.09886908531188965,0.012609893456101418,-0.053569961339235306,0.19186486303806305,0.2290804088115692,0.029980434104800224,0.09954495577769944,0.016421189626958023,-0.05123468075931949
